=> 2-grams:
a Macondo: 30 
fue el: 30 
su marido: 30 
el aire: 30 
uno de: 30 
el dormitorio: 30 
lo había: 30 
la mujer: 30 
el único: 30 
que cuando: 30 
Apolinar Moscote: 30 
la guerra.: 30 
Segundo se: 30 
de Fernanda: 30 
Úrsula y: 29 
los hombres: 29 
a pesar: 29 
su hermano: 29 
un poco: 29 
Buendía se: 29 
vez más: 29 
frente a: 29 
una vez: 29 
entre los: 29 
de modo: 29 
de lo: 28 
como el: 28 
su propia: 28 
y fue: 28 
no tenía: 28 
llegó a: 28 
al mismo: 28 
día siguiente: 28 
y Amaranta: 28 
el taller: 28 
padre Nicanor: 28 
Aureliano Buendía.: 28 
que Fernanda: 28 
la idea: 27 
y había: 27 
que un: 27 
la única: 27 
era la: 27 
que sólo: 27 
la muerte.: 27 
su hijo: 27 
las paredes: 27 
Aureliano y: 27 
muerte de: 27 
y sin: 27 
Buendía y: 26 
a quien: 26 
porque la: 26 
una noche: 26 
tarde en: 26 
del mundo: 26 
se quedó: 26 
no podía: 26 
había visto: 26 
le daba: 26 
meses después: 26 
de Remedios: 26 
y Aureliano: 26 
Mauricio Babilonia: 26 
llevó a: 25 
a punto: 25 
hombre que: 25 
como lo: 25 
la ventana: 25 
De modo: 25 
a ser: 25 
cuando el: 25 
que de: 25 
día en: 25 
No se: 25 
los primeros: 25 
de ella: 25 
ya no: 25 
Arcadio y: 25 
que les: 25 
compañía bananera: 25 
tenía la: 24 
bajo el: 24 
resto de: 24 
su casa: 24 
la de: 24 
de madera: 24 
cabo de: 24 
vez en: 24 
lo único: 24 
por qué: 24 
a poco: 24 
puerta de: 24 
al día: 24 
de toda: 24 
el padre: 24 
tuvo que: 24 
nombre de: 23 
el fondo: 23 
que José: 23 
tenía un: 23 
lo vio: 23 
las calles: 23 
por primera: 23 
y él: 23 
impresión de: 23 
que sus: 23 
desde que: 23 
de haber: 23 
estado de: 23 
los últimos: 23 
los dedos: 23 
se sintió: 23 
Úrsula que: 23 
la cara: 23 
empezaba a: 23 
la siesta: 23 
que Amaranta: 23 
los pergaminos: 23 
la plaza: 23 
frente al: 22 
el hombre: 22 
el resto: 22 
su vida: 22 
esa época: 22 
en cambio: 22 
Úrsula no: 22 
para siempre: 22 
le decía: 22 
Al principio: 22 
la ciénaga: 22 
en efecto: 22 
Una noche: 22 
junto a: 22 
como la: 22 
la última: 22 
Pero cuando: 22 
Aureliano no: 22 
el amor: 22 
el que: 22 
en otro: 22 
la luz: 22 
las manos: 22 
de Petra: 22 
mujer que: 21 
contra el: 21 
que por: 21 
la ropa: 21 
Era una: 21 
la impresión: 21 
mismo tiempo: 21 
no la: 21 
y ella: 21 
ella le: 21 
comprendió que: 21 
de ser: 21 
no fuera: 21 
que estaban: 21 
que hacer: 21 
hora de: 21 
las dos: 21 
ella misma: 21 
fue la: 21 
tienda de: 21 
Aureliano se: 21 
una casa: 21 
había vuelto: 21 
taller de: 21 
Amaranta se: 21 
Fernanda se: 21 
pensó que: 20 
hacia el: 20 
Macondo y: 20 
a toda: 20 
clase de: 20 
un instante: 20 
no volvió: 20 
hasta los: 20 
Más tarde: 20 
por fin: 20 
después del: 20 
de todo: 20 
trataba de: 20 
cierta ocasión: 20 
sobre la: 20 
medida que: 20 
En realidad: 20 
con él: 20 
una tarde: 20 
y luego: 20 
mucho más: 20 
pensar en: 20 
a Fernanda: 20 
era tan: 19 
se les: 19 
los gitanos: 19 
A pesar: 19 
el gobierno: 19 
y les: 19 
del pueblo: 19 
el momento: 19 
toda clase: 19 
tiempos de: 19 
en todo: 19 
donde se: 19 
olor de: 19 
se atrevió: 19 
mientras no: 19 
pensando en: 19 
y entonces: 19 
el corazón: 19 
del dormitorio: 19 
y dos: 19 
pero que: 19 
con ella: 19 
lo hizo: 19 
su corazón: 19 
nunca se: 19 
apenas si: 19 
si no: 19 
otro tiempo: 19 
no tuvo: 19 
de Rebeca: 19 
le preguntó: 19 
y más: 19 
y sólo: 19 
cuando lo: 19 
Segundo no: 19 
años después: 18 
él mismo: 18 
en casa: 18 
el último: 18 
como se: 18 
casa para: 18 
se hizo: 18 
una especie: 18 
especie de: 18 
porque el: 18 
de todos: 18 
a través: 18 
durante la: 18 
poco a: 18 
tiempo para: 18 
noche de: 18 
el peso: 18 
él se: 18 
días después: 18 
sin que: 18 
ella no: 18 
la realidad: 18 
la había: 18 
y cuando: 18 
le habían: 18 
la tienda: 18 
la piel: 18 
don Apolinar: 18 
se puso: 18 
como en: 18 
las cartas: 18 
vuelto a: 18 
Segundo y: 18 
Aureliano Triste: 18 
su mujer: 17 
que parecía: 17 
contra la: 17 
Úrsula en: 17 
al cuarto: 17 
el olor: 17 
la antigua: 17 
a ver: 17 
Úrsula lo: 17 
encontró en: 17 
atrevió a: 17 
vez de: 17 
vio a: 17 
sus padres: 17 
así como: 17 
más tarde: 17 
de dos: 17 
dijo a: 17 
que iba: 17 
puso en: 17 
él no: 17 
que tuvo: 17 
todo lo: 17 
tres días: 17 
que si: 17 
día de: 17 
la madrugada: 17 
a casa: 17 
grupo de: 17 
que fue: 17 
cuando Aureliano: 17 
un pueblo: 17 
a Rebeca: 17 
vestido de: 17 
a medida: 17 
a que: 17 
cuando ya: 17 
la boda: 17 
el punto: 17 
en Macondo.: 17 
el general: 17 
la aldea: 16 
desde hacía: 16 
en voz: 16 
terminó por: 16 
pronto como: 16 
a sí: 16 
de aquel: 16 
Era un: 16 
el propio: 16 
a comer: 16 
Úrsula .: 16 
bajo la: 16 
eran los: 16 
poco tiempo: 16 
sentido de: 16 
contacto con: 16 
el camino: 16 
término de: 16 
en medio: 16 
en qué: 16 
través de: 16 
el centro: 16 
muchos años: 16 
orden de: 16 
alcanzó a: 16 
la noticia: 16 
Arcadio se: 16 
la madre: 16 
Desde entonces: 16 
sentimiento de: 16 
con tanta: 16 
tenía que: 16 
la que: 16 
porque no: 16 
ella se: 16 
a Dios: 16 
darse cuenta: 16 
dormitorio de: 16 
Después de: 16 
tenía una: 16 
la cama.: 16 
de estar: 16 
cama de: 16 
que entonces: 16 
las puertas: 16 
el dinero: 16 
en ella: 16 
una carta: 16 
sino por: 16 
de Macondo.: 16 
Don Apolinar: 16 
los que: 16 
los días: 16 
pescaditos de: 16 
y era: 16 
la vio: 16 
general Moneada: 16 
Fernanda no: 16 
la estación: 16 
señor Brown: 16 
casa en: 15 
de Melquíades.: 15 
de aquella: 15 
los dos: 15 
el cuello: 15 
Buendía que: 15 
De pronto: 15 
sí mismo: 15 
el otro: 15 
tuvo la: 15 
certidumbre de: 15 
Úrsula había: 15 
sino en: 15 
se la: 15 
pero la: 15 
medio de: 15 
de ceniza: 15 
él le: 15 
creyó que: 15 
y vio: 15 
mano y: 15 
la lluvia.: 15 
va a: 15 
sus hijos: 15 
la memoria: 15 
sobre el: 15 
de amor: 15 
el baño: 15 
fue un: 15 
los brazos: 15 
tarde cuando: 15 
tres meses: 15 
En cierta: 15 
no estaba: 15 
creyendo que: 15 
José Arcadio.: 15 
entre las: 15 
Al cabo: 15 
Aureliano le: 15 
el cabello: 15 
Amaranta y: 15 
el cuerpo: 15 
costumbre de: 15 
se enteró: 15 
el calor: 15 
noches de: 15 
. No: 15 
llevaron a: 15 
sala de: 15 
los hijos: 15 
que Remedios: 15 
Melquíades y: 15 
cosas que: 15 
Fue una: 15 
lo hubiera: 15 
habían sido: 15 
de guerra: 15 
era que: 15 
padre Antonio: 15 
Fernanda y: 15 
del sabio: 15 
lo llevó: 14 
que llevaba: 14 
extremo de: 14 
en cualquier: 14 
se dejó: 14 
había perdido: 14 
había dejado: 14 
por sus: 14 
momento en: 14 
poco de: 14 
Pero la: 14 
que todo: 14 
se los: 14 
de agua: 14 
que llegó: 14 
hombre de: 14 
al cabo: 14 
los mismos: 14 
años antes: 14 
la oscuridad: 14 
días de: 14 
las mujeres: 14 
él .: 14 
un día: 14 
a pensar: 14 
un niño: 14 
la muchedumbre: 14 
y encontró: 14 
la vergüenza: 14 
Esa noche: 14 
el cadáver: 14 
entró en: 14 
en duda: 14 
patio y: 14 
peso de: 14 
Antes de: 14 
dio a: 14 
que siempre: 14 
Úrsula le: 14 
las tinieblas: 14 
nada que: 14 
que ni: 14 
la boca: 14 
a todo: 14 
día y: 14 
dos de: 14 
de Pilar: 14 
un grupo: 14 
supo que: 14 
de ellos: 14 
instante de: 14 
después cuando: 14 
a nadie: 14 
dijo que: 14 
que hubiera: 14 
una de: 14 
casa se: 14 
la camisa: 14 
la costumbre: 14 
cuando la: 14 
la espalda: 14 
contrario de: 14 
los muebles: 14 
Aureliano lo: 14 
la hija: 14 
la pianola: 14 
de él: 14 
menos de: 14 
puertas y: 14 
los muertos: 14 
le hacía: 14 
la hamaca: 14 
de Pietro: 14 
al dormitorio: 14 
En los: 14 
el tren: 14 
los médicos: 14 
pelotón de: 13 
a conocer: 13 
casas de: 13 
los años: 13 
más allá: 13 
fue una: 13 
en toda: 13 
debajo de: 13 
la peste: 13 
meses de: 13 
fondo de: 13 
la época: 13 
la posibilidad: 13 
posibilidad de: 13 
hizo un: 13 
todas partes: 13 
otro lado: 13 
los más: 13 
la certidumbre: 13 
el principio: 13 
sobre los: 13 
ante la: 13 
que al: 13 
de colores: 13 
y donde: 13 
las de: 13 
el sentido: 13 
carecía de: 13 
hombres que: 13 
lugar en: 13 
pero se: 13 
del tiempo: 13 
tiempo y: 13 
Arcadio Buendía.: 13 
voluntad de: 13 
de Dios: 13 
el niño: 13 
a leer: 13 
la orden: 13 
habitantes de: 13 
de pronto: 13 
pero el: 13 
dio un: 13 
el más: 13 
Así que: 13 
Prudencio Aguilar: 13 
los huesos: 13 
la imagen: 13 
el pretexto: 13 
fuera a: 13 
de acuerdo: 13 
como ella: 13 
donde los: 13 
no hubiera: 13 
aire de: 13 
dentro de: 13 
las noches: 13 
había tenido: 13 
ver con: 13 
casa con: 13 
lo habían: 13 
mientras la: 13 
un solo: 13 
tiempo que: 13 
horas de: 13 
entre la: 13 
Arcadio no: 13 
por supuesto: 13 
la muchacha: 13 
estaban en: 13 
los otros: 13 
puso a: 13 
el polvo: 13 
porque se: 13 
del patio: 13 
se vio: 13 
del insomnio: 13 
decir que: 13 
nadie se: 13 
de plata: 13 
que eran: 13 
había llegado: 13 
los soldados: 13 
ya había: 13 
En las: 13 
tiempos en: 13 
a él: 13 
la frente: 13 
a cualquier: 13 
como no: 13 
el término: 13 
la escuela: 13 
guerra y: 13 
las ventanas: 13 
la soledad: 13 
Antonio Isabel: 13 
a Meme: 13 
cerca de: 12 
hizo una: 12 
y aun: 12 
tiempo en: 12 
Lo único: 12 
de cobre: 12 
lugar de: 12 
mitad de: 12 
la sierra: 12 
era en: 12 
el curso: 12 
curso de: 12 
le permitió: 12 
época en: 12 
su propio: 12 
Pero no: 12 
hasta entonces: 12 
como las: 12 
de terciopelo: 12 
no es: 12 
al otro: 12 
forma de: 12 
de tal: 12 
las casas: 12 
él y: 12 
camino de: 12 
donde había: 12 
por esa: 12 
se volvió: 12 
los pájaros: 12 
el sol: 12 
un lugar: 12 
lo encontró: 12 
puerta del: 12 
que fuera: 12 
del hombre: 12 
casa que: 12 
el pelo: 12 
desde entonces: 12 
del cuarto: 12 
la atención: 12 
centro de: 12 
la infancia: 12 
Fue así: 12 
. Es: 12 
a dormir: 12 
con quien: 12 
porque en: 12 
el favor: 12 
favor de: 12 
Buendía le: 12 
es que: 12 
. Se: 12 
el sueño: 12 
Al día: 12 
Un día: 12 
el café: 12 
le pidió: 12 
si el: 12 
algo que: 12 
porque era: 12 
los recuerdos: 12 
que ver: 12 
noticia de: 12 
dio una: 12 
conciencia de: 12 
hombres y: 12 
ni se: 12 
dos veces: 12 
tanto que: 12 
la voz: 12 
que apenas: 12 
de oro.: 12 
la niña: 12 
de negro: 12 
la música: 12 
de risa: 12 
se hubiera: 12 
de lino: 12 
Al contrario: 12 
Pero el: 12 
propósito de: 12 
se iba: 12 
su esposa: 12 
como su: 12 
levantó la: 12 
y casi: 12 
la cual: 12 
la fecha: 12 
las begonias: 12 
las tardes: 12 
le iba: 12 
la pasión: 12 
en él: 12 
al taller: 12 
a veces: 12 
a salvo: 12 
El padre: 12 
en ese: 12 
dos meses: 12 
que más: 12 
sólo por: 12 
las últimas: 12 
presidente de: 12 
veinte años: 12 
estaba a: 12 
mucho antes: 12 
los rincones: 12 
los militares: 12 
un tiempo: 12 
sino porque: 12 
de tanto: 12 
ni el: 12 
Segundo en: 12 
que Meme: 12 
de Meme: 12 
sabio catalán: 12 
por donde: 11 
así que: 11 
los cuatro: 11 
vida de: 11 
estuvo a: 11 
tan pronto: 11 
de hacer: 11 
se sentó: 11 
perdió la: 11 
Aureliano que: 11 
entró al: 11 
se convirtió: 11 
convirtió en: 11 
llegado a: 11 
le pareció: 11 
la fundación: 11 
el trabajo: 11 
a ella: 11 
de tierra: 11 
tal modo: 11 
que desde: 11 
años y: 11 
se sorprendió: 11 
cabeza y: 11 
el lugar: 11 
para los: 11 
volvieron a: 11 
Buendía .: 11 
se fueron: 11 
dijo él: 11 
madre y: 11 
máquina de: 11 
Se había: 11 
por entre: 11 
a hacer: 11 
dormitorio y: 11 
sus propios: 11 
cola de: 11 
dijo ella: 11 
se estaba: 11 
salió a: 11 
Lo que: 11 
entonces no: 11 
la ansiedad: 11 
estaba tan: 11 
en esa: 11 
Una mañana: 11 
de hielo: 11 
casa donde: 11 
pretexto de: 11 
entonces se: 11 
tal vez: 11 
había estado: 11 
sin saber: 11 
los pies: 11 
la puerta.: 11 
un momento: 11 
muy pronto: 11 
veces en: 11 
que podía: 11 
no eran: 11 
la forma: 11 
noche del: 11 
al amanecer: 11 
veces al: 11 
que durante: 11 
de comer: 11 
hijo de: 11 
al niño: 11 
tiempo se: 11 
y volvió: 11 
volver a: 11 
en vez: 11 
pero en: 11 
y tan: 11 
y apenas: 11 
la familia.: 11 
muy bien: 11 
la cuenta: 11 
le llevaba: 11 
los forasteros: 11 
había puesto: 11 
acabó de: 11 
cama y: 11 
Rebeca y: 11 
un nuevo: 11 
al contrario: 11 
con Aureliano: 11 
si hubiera: 11 
y tenía: 11 
hubiera podido: 11 
lo mismo: 11 
el jardín: 11 
por lo: 11 
No era: 11 
muchas veces: 11 
Poco después: 11 
de Amaranta.: 11 
y Úrsula: 11 
vio en: 11 
calle de: 11 
Amaranta no: 11 
al fin: 11 
salvo de: 11 
la otra: 11 
que seguía: 11 
el castaño: 11 
la adolescencia: 11 
Era tan: 11 
de café: 11 
el pecho: 11 
lo llevaron: 11 
sobre todo: 11 
de morir: 11 
los Turcos: 11 
le vio: 11 
de seda: 11 
contra los: 11 
de Santa: 11 
dijo el: 11 
era su: 11 
las cinco: 11 
Aureliano Segundo.: 11 
de sangre: 11 
amor y: 11 
allá de: 11 
hablar de: 11 
Segundo que: 11 
los trabajadores: 11 
la semana: 11 
pensaba en: 11 
del tren: 11 
la alberca: 11 
médicos invisibles: 11 
las hormigas: 11 
conocer el: 10 
y todo: 10 
mundo se: 10 
detrás de: 10 
la tierra.: 10 
empeñó en: 10 
de hierro: 10 
las autoridades: 10 
la capital: 10 
por completo: 10 
necesidad de: 10 
del mundo.: 10 
el laboratorio: 10 
una mirada: 10 
lado de: 10 
principio de: 10 
en verdad: 10 
ser tan: 10 
el dolor: 10 
la fiebre: 10 
se daba: 10 
que según: 10 
una semana: 10 
su paso: 10 
convencido de: 10 
encontró el: 10 
color de: 10 
empezaban a: 10 
le contestó: 10 
la voluntad: 10 
de Úrsula.: 10 
el vientre: 10 
a otro: 10 
a quienes: 10 
el pequeño: 10 
En un: 10 
su cuerpo: 10 
había un: 10 
más grande: 10 
negó a: 10 
Aureliano en: 10 
Cuando el: 10 
tanto con: 10 
sino de: 10 
manera de: 10 
si la: 10 
la situación: 10 
la sangre: 10 
Fue un: 10 
y todos: 10 
Arcadio la: 10 
a buscarla: 10 
En ese: 10 
capaz de: 10 
mundo que: 10 
que entró: 10 
más a: 10 
ella y: 10 
Pilar Ternera.: 10 
su familia: 10 
gente de: 10 
mundo y: 10 
del amor: 10 
se sentía: 10 
una ocasión: 10 
Úrsula la: 10 
sus últimos: 10 
la ocasión: 10 
Una tarde: 10 
no fue: 10 
por último: 10 
una sonrisa: 10 
empezaron a: 10 
el suelo: 10 
había dado: 10 
la menor: 10 
pocas horas: 10 
la canastilla: 10 
una hora: 10 
dos semanas: 10 
que cada: 10 
sino la: 10 
que hacía: 10 
alguien que: 10 
había dicho: 10 
la verdad: 10 
los de: 10 
la mala: 10 
las tres: 10 
no por: 10 
la ciénaga.: 10 
le ocurrió: 10 
puerta y: 10 
a cada: 10 
si se: 10 
donde no: 10 
La casa: 10 
o temprano: 10 
pensar que: 10 
dijo Úrsula: 10 
la república: 10 
de regreso: 10 
la fiesta: 10 
corredor de: 10 
días y: 10 
ocasión de: 10 
dos horas: 10 
ella la: 10 
que te: 10 
y puso: 10 
los dormitorios: 10 
un siglo: 10 
pero cuando: 10 
y ventanas: 10 
A veces: 10 
había llevado: 10 
era más: 10 
y trató: 10 
la mirada: 10 
vio pasar: 10 
A las: 10 
pasaba la: 10 
había encontrado: 10 
dio la: 10 
porque los: 10 
Fue por: 10 
antes del: 10 
las seis: 10 
treinta y: 10 
el dormitorio.: 10 
a muerte: 10 
pasó por: 10 
última vez: 10 
fue que: 10 
sólo para: 10 
entonces cuando: 10 
bella y: 10 
a Petra: 10 
la esposa: 10 
era lo: 10 
le mandó: 10 
el señor: 10 
compañía bananera.: 10 
las primeras: 10 
al pelotón: 9 
de fusilamiento: 9 
de veinte: 9 
de casa: 9 
les había: 9 
la naturaleza: 9 
aquel tiempo: 9 
varios meses: 9 
se empeñó: 9 
de cinco: 9 
acababa de: 9 
y tres: 9 
piezas de: 9 
sobre las: 9 
Cuando se: 9 
sin ningún: 9 
. Pero: 9 
entonces en: 9 
le contó: 9 
mientras el: 9 
como los: 9 
desde los: 9 
aun en: 9 
la buena: 9 
el amanecer: 9 
hasta muy: 9 
llenó de: 9 
La primera: 9 
de vidrio: 9 
en poco: 9 
sus hombres: 9 
y allí: 9 
un aire: 9 
regreso de: 9 
esta vez: 9 
cuando empezó: 9 
su padre.: 9 
de esa: 9 
la existencia: 9 
el extremo: 9 
que muchos: 9 
a vivir: 9 
tarde de: 9 
mano en: 9 
se negó: 9 
buscando la: 9 
Buendía con: 9 
vergüenza de: 9 
siempre que: 9 
un año: 9 
mientras se: 9 
que pasaba: 9 
No le: 9 
su esposo: 9 
y desde: 9 
hacia la: 9 
mejor que: 9 
parte del: 9 
se levantaba: 9 
el agua: 9 
con ellos: 9 
para su: 9 
su edad: 9 
se encerró: 9 
de cualquier: 9 
ese momento: 9 
si fuera: 9 
ir a: 9 
sino a: 9 
ni la: 9 
tierra y: 9 
del corazón: 9 
varias veces: 9 
abrió la: 9 
padre y: 9 
sus ojos: 9 
la soledad.: 9 
que ambos: 9 
Arcadio le: 9 
obligó a: 9 
encontró a: 9 
Buendía lo: 9 
La noche: 9 
que andaba: 9 
que todavía: 9 
la pequeña: 9 
Amaranta que: 9 
no habían: 9 
llevaba a: 9 
hora y: 9 
meses y: 9 
llevado a: 9 
cargo de: 9 
animalitos de: 9 
él quien: 9 
dentro del: 9 
los almendros: 9 
los había: 9 
Márquez de: 9 
dejó de: 9 
de platería: 9 
Pero Aureliano: 9 
junto con: 9 
Buendía estaba: 9 
de ese: 9 
el mecedor: 9 
un traje: 9 
Rebeca que: 9 
en pocas: 9 
a dar: 9 
hijos y: 9 
a Arcadio: 9 
todos modos: 9 
se encontró: 9 
el pueblo.: 9 
tenía el: 9 
y nadie: 9 
haber sido: 9 
descubrió que: 9 
los animales: 9 
es la: 9 
el propósito: 9 
la incertidumbre: 9 
dispuesto a: 9 
había quedado: 9 
porque tenía: 9 
había ido: 9 
la más: 9 
muerto de: 9 
que hasta: 9 
la guardia: 9 
y ya: 9 
la vista: 9 
ojos de: 9 
las cuatro: 9 
las mariposas: 9 
los niños.: 9 
Pero en: 9 
única que: 9 
asuntos de: 9 
los libros: 9 
que hizo: 9 
setenta y: 9 
se supo: 9 
dijo Aureliano: 9 
había terminado: 9 
la iglesia: 9 
el almuerzo: 9 
al padre: 9 
par de: 9 
con tanto: 9 
tanto tiempo: 9 
la calle.: 9 
de sí: 9 
sabía que: 9 
las tierras: 9 
patio de: 9 
más bien: 9 
de más: 9 
apareció en: 9 
la vejez: 9 
que después: 9 
una palabra: 9 
seis de: 9 
el presidente: 9 
de lucidez: 9 
la comida: 9 
él la: 9 
la venda: 9 
con dos: 9 
Buendía en: 9 
el capitán: 9 
tratado de: 9 
que me: 9 
sino una: 9 
Roque Carnicero: 9 
el comedor: 9 
No había: 9 
época que: 9 
la bella.: 9 
agua de: 9 
Fue entonces: 9 
del armisticio: 9 
corazón de: 9 
últimos años: 9 
que aquel: 9 
el acordeón: 9 
Petra Cotes.: 9 
Desde que: 9 
un tren: 9 
Segundo fue: 9 
para ver: 9 
cruz de: 9 
no haber: 9 
que Gastón: 9 
Muchos años: 8 
hacía mucho: 8 
más se: 8 
voz alta: 8 
los gitanos.: 8 
calle y: 8 
oro que: 8 
ella había: 8 
su cuarto: 8 
cuidado de: 8 
de lluvia: 8 
niños se: 8 
varios días: 8 
voz baja: 8 
y como: 8 
recuerdo de: 8 
y esto: 8 
los dientes: 8 
de nuevo: 8 
una nueva: 8 
dando vueltas: 8 
gallos de: 8 
en ningún: 8 
los pisos: 8 
pocos años: 8 
la aldea.: 8 
dolor de: 8 
los sueños: 8 
estaban los: 8 
seis meses: 8 
acuerdo con: 8 
perder la: 8 
Sólo entonces: 8 
de otros: 8 
por todas: 8 
meses en: 8 
ni en: 8 
de qué: 8 
convertirse en: 8 
por él: 8 
mañana en: 8 
Úrsula fue: 8 
y tuvo: 8 
empezado a: 8 
segura de: 8 
cosas de: 8 
el rostro: 8 
techo de: 8 
pequeño Aureliano: 8 
tres años: 8 
existencia de: 8 
sus propias: 8 
el oficial: 8 
entre el: 8 
hacer la: 8 
no les: 8 
sólo había: 8 
aquel momento: 8 
toque de: 8 
por encima: 8 
encima de: 8 
al mundo: 8 
que pasó: 8 
con unos: 8 
una sola: 8 
de acostarse: 8 
de pelea: 8 
conoció el: 8 
ella .: 8 
a Prudencio: 8 
la fuerza: 8 
a tomar: 8 
que vio: 8 
junto al: 8 
no logró: 8 
y estaba: 8 
sintió que: 8 
deseos de: 8 
a tocar: 8 
sentado en: 8 
Desde el: 8 
el instante: 8 
los tres: 8 
llegar a: 8 
el miedo: 8 
. Si: 8 
no lograba: 8 
llena de: 8 
llegaron a: 8 
un sentimiento: 8 
de costumbre: 8 
mujer más: 8 
Arcadio había: 8 
ella lo: 8 
interior de: 8 
un estado: 8 
fue con: 8 
Cuando Úrsula: 8 
la basura: 8 
de hombres: 8 
Amaranta en: 8 
le oyó: 8 
el regreso: 8 
los meses: 8 
la lengua: 8 
sólo se: 8 
por esos: 8 
de Arcadio: 8 
mecedor de: 8 
la carta: 8 
cuando le: 8 
Rebeca se: 8 
muerta de: 8 
entonces la: 8 
dicho que: 8 
como a: 8 
siempre y: 8 
la oscuridad.: 8 
rincón de: 8 
la conciencia: 8 
vueltas en: 8 
que también: 8 
había pasado: 8 
Era como: 8 
cuello de: 8 
lo puso: 8 
oro en: 8 
que nada: 8 
le hicieron: 8 
el daguerrotipo: 8 
cada uno: 8 
su destino.: 8 
Francisco el: 8 
los pueblos: 8 
de Catarino.: 8 
qué había: 8 
a causa: 8 
y aunque: 8 
le ordenó: 8 
lejos de: 8 
pueblo en: 8 
de Catarino: 8 
